District,Sector,Top 1 Crop,Top 2 Crop,Top 3 Crop,Top 4 Crop,Top 5 Crop,,,,,,
Huye,Kinazi,French beans,Coffee,Avocado,Mango,Maize,,,,,,
Huye,Maraba,French beans,Coffee,Avocado,Celery,Mango,,,,,,
Huye,Mbazi,Coffee,French beans,Avocado,Celery,Mango,,,,,,
Huye,Mukura,French beans,Avocado,Coffee,Mango,Celery,,,,,,
Huye,Ngoma,French beans,Coffee,Avocado,Mango,Celery,,,,,,
Huye,Ruhashya,French beans,Avocado,Coffee,Mango,Celery,,,,,,
Huye,Rusatira,French beans,Coffee,Avocado,Mango,Celery,,,,,,
Huye,Rwaniro,French beans,Avocado,Coffee,Mango,Celery,,,,,,
Huye,Simbi,French beans,Coffee,Avocado,Celery,Maize,,,,,,
Huye,Tumba,French beans,Coffee,Avocado,Celery,Eggplant,,,,,,
Nyamagabe,Buruhukiro,Coffee,French beans,Potato,Celery,Avocado,,,,,,
Nyamagabe,Cyanika,French beans,Coffee,Avocado,Celery,Potato,,,,,,
Nyamagabe,Gasaka,French beans,Maize,Potato,Avocado,Coffee,,,,,,
Nyamagabe,Gatare,French beans,Coffee,Potato,Pumpkin,Celery,,,,,,
Nyamagabe,Kaduha,French beans,Coffee,Potato,Avocado,Maize,,,,,,
Nyamagabe,Kamegeri,French beans,Coffee,Avocado,Celery,Maize,,,,,,
Nyamagabe,Kibirizi,French beans,Coffee,Avocado,Celery,Maize,,,,,,
Nyamagabe,Kibumbwe,French beans,Coffee,Potato,Celery,Maize,,,,,,
Nyamagabe,Kitabi,French beans,Coffee,Potato,Celery,Maize,,,,,,
Nyamagabe,Mbazi,French beans,Maize,Potato,Coffee,Avocado,,,,,,
Nyamagabe,Mugano,French beans,Avocado,Mango,Maize,Celery,,,,,,
Nyamagabe,Musange,French beans,Avocado,Mango,Maize,Celery,,,,,,
Nyamagabe,Musebeya,French beans,Coffee,Potato,Celery,Avocado,,,,,,
Nyamagabe,Mushubi,French beans,Coffee,Potato,Maize,Avocado,,,,,,
Nyamagabe,Tare,French beans,Coffee,Celery,Avocado,Potato,,,,,,
Nyamagabe,Uwinkingi,French beans,Coffee,Potato,Celery,Maize,,,,,,
Ruhango,Bweramana,French beans,Avocado,Coffee,Mango,Celery,,,,,,
Ruhango,Byimana,French beans,Coffee,Avocado,Maize,Celery,,,,,,
Ruhango,Kabagali,French beans,Coffee,Avocado,Mango,Maize,,,,,,
Ruhango,Kinazi,French beans,Avocado,Mango,Maize,Coffee,,,,,,
Ruhango,Kinihira,French beans,Coffee,Avocado,Celery,Maize,,,,,,
Ruhango,Mbuye,French beans,Avocado,Mango,Coffee,Maize,,,,,,
Ruhango,Mwendo,French beans,Avocado,Coffee,Mango,Maize,,,,,,
Ruhango,Ntongwe,French beans,Avocado,Mango,Coffee,Maize,,,,,,
Ruhango,Ruhango,French beans,Coffee,Avocado,Mango,Celery,,,,,,
Muhanga,Cyeza,French beans,Coffee,Avocado,Mango,Maize,,,,,,
Muhanga,Kabacuzi,French beans,Avocado,Coffee,Mango,Celery,,,,,,
Muhanga,Kibangu,French beans,Avocado,Mango,Coffee,Maize,,,,,,
Muhanga,Kiyumba,French beans,Avocado,Coffee,Mango,Maize,,,,,,
Muhanga,Muhanga,French beans,Coffee,Avocado,Mango,Maize,,,,,,
Muhanga,Mushishiro,French beans,Avocado,Coffee,Mango,Maize,,,,,,
Muhanga,Nyabinoni,French beans,Coffee,Maize,Potato,Avocado,,,,,,
Muhanga,Nyamabuye,French beans,Coffee,Avocado,Maize,Potato,,,,,,
Muhanga,Nyarusange,French beans,Avocado,Mango,Maize,Coffee,,,,,,
Muhanga,Rongi,French beans,Coffee,Avocado,Celery,Maize,,,,,,
Muhanga,Rugendabari,French beans,Coffee,Avocado,Mango,Celery,,,,,,
Muhanga,Shyogwe,French beans,Coffee,Avocado,Celery,Maize,,,,,,
Kamonyi,Gacurabwenge,French beans,Coffee,Avocado,Mango,Celery,,,,,,
Kamonyi,Karama,French beans,Avocado,Coffee,Mango,Maize,,,,,,
Kamonyi,Kayenzi,French beans,Coffee,Avocado,Mango,Celery,,,,,,
Kamonyi,Kayumbu,French beans,Avocado,Mango,Coffee,Maize,,,,,,
Kamonyi,Mugina,French beans,Avocado,Mango,Coffee,Maize,,,,,,
Kamonyi,Musambira,French beans,Mango,Avocado,Maize,Celery,,,,,,
Kamonyi,Ngamba,French beans,Avocado,Coffee,Mango,Maize,,,,,,
Kamonyi,Nyamiyaga,French beans,Avocado,Mango,Maize,Celery,,,,,,
Kamonyi,Nyarubaka,French beans,Maize,Mango,Avocado,Coffee,,,,,,
Kamonyi,Rugarika,French beans,Avocado,Mango,Maize,Celery,,,,,,
Kamonyi,Rukoma,French beans,Coffee,Avocado,Celery,Maize,,,,,,
Kamonyi,Runda,French beans,Avocado,Coffee,Mango,Maize,,,,,,
Karongi,Bwishyura,French beans,Avocado,Mango,Coffee,Maize,,,,,,
Karongi,Gashari,French beans,Coffee,Avocado,Maize,Mango,,,,,,
Karongi,Gitesi,French beans,Coffee,Avocado,Celery,Maize,,,,,,
Karongi,Mubuga,French beans,Coffee,Avocado,Mango,Celery,,,,,,
Karongi,Murambi,Coffee,French beans,Avocado,Mango,Celery,,,,,,
Karongi,Murundi,French beans,Coffee,Avocado,Mango,Celery,,,,,,
Karongi,Mutuntu,French beans,Coffee,Avocado,Potato,Maize,,,,,,
Karongi,Rubengera,French beans,Coffee,Avocado,Mango,Celery,,,,,,
Karongi,Rugabano,French beans,Potato,Celery,Maize,Avocado,,,,,,
Karongi,Ruganda,French beans,Coffee,Potato,Avocado,Celery,,,,,,
Karongi,Rwankuba,French beans,Coffee,Potato,Celery,Maize,,,,,,
Karongi,Twumba,French beans,Potato,Coffee,Celery,Pumpkin,,,,,,
Rutsiro,Gihango,French beans,Potato,Maize,Celery,Coffee,,,,,,
Rutsiro,Manihira,French beans,Coffee,Potato,Celery,Maize,,,,,,
Rutsiro,Mukura,French beans,Coffee,Potato,Celery,Maize,,,,,,
Rutsiro,Murunda,French beans,Coffee,Potato,Celery,Maize,,,,,,
Rutsiro,Mushonyi,French beans,Coffee,Avocado,Celery,Maize,,,,,,
Rutsiro,Mushubati,French beans,Coffee,Avocado,Celery,Maize,,,,,,
Rutsiro,Nyabirasi,French beans,Coffee,Potato,Celery,Maize,,,,,,
Rutsiro,Ruhango,French beans,Coffee,Potato,Celery,Maize,,,,,,
Rutsiro,Rusebeya,French beans,Coffee,Potato,Celery,Maize,,,,,,
Rubavu,Bugeshi,French beans,Coffee,Potato,Celery,Maize,,,,,,
Rubavu,Busasamana,French beans,Coffee,Potato,Celery,Maize,,,,,,
Rubavu,Cyanzarwe,Coffee,French beans,Avocado,Celery,Maize,,,,,,
Rubavu,Gisenyi,French beans,Avocado,Coffee,Mango,Celery,,,,,,
Rubavu,Kanama,French beans,Coffee,Potato,Celery,Maize,,,,,,
Rubavu,Kanzenze,French beans,Coffee,Potato,Celery,Avocado,,,,,,
Rubavu,Mudende,French beans,Coffee,Potato,Celery,Maize,,,,,,
Rubavu,Nyakiriba,French beans,Coffee,Potato,Avocado,Maize,,,,,,
Rubavu,Nyundo,French beans,Coffee,Potato,Celery,Avocado,,,,,,
Rubavu,Rubavu,French beans,Avocado,Coffee,Mango,Maize,,,,,,
Rubavu,Rugerero,French beans,Avocado,Mango,Coffee,Maize,,,,,,
Nyabihu,Bigogwe,French beans,Potato,Coffee,Pumpkin,Celery,,,,,,
Nyabihu,Jenda,French beans,Potato,Coffee,Pumpkin,Celery,,,,,,
Nyabihu,Jomba,French beans,Coffee,Potato,Celery,Maize,,,,,,
Nyabihu,Kabatwa,French beans,Potato,Pumpkin,Watermelon,Coffee,,,,,,
Nyabihu,Karago,French beans,Potato,Pumpkin,Coffee,Celery,,,,,,
Nyabihu,Kintobo,French beans,Potato,Pumpkin,Coffee,Celery,,,,,,
Nyabihu,Mukamira,French beans,Potato,Pumpkin,Coffee,Maize,,,,,,
Nyabihu,Muringa,French beans,Potato,Pumpkin,Coffee,Celery,,,,,,
Nyabihu,Rambura,French beans,Potato,Pumpkin,Coffee,Celery,,,,,,
Nyabihu,Rugera,French beans,Coffee,Avocado,Maize,Mango,,,,,,
Nyabihu,Rurembo,French beans,Potato,Coffee,Maize,Celery,,,,,,
Nyabihu,Shyira,French beans,Coffee,Potato,Maize,Celery,,,,,,
Ngororero,Bwira,French beans,Coffee,Celery,Maize,Potato,,,,,,
Ngororero,Gatumba,French beans,Coffee,Avocado,Celery,Mango,,,,,,
Ngororero,Hindiro,French beans,Coffee,Potato,Celery,Maize,,,,,,
Ngororero,Kabaya,French beans,Potato,Coffee,Pumpkin,Celery,,,,,,
Ngororero,Kageyo,French beans,Coffee,Potato,Celery,Maize,,,,,,
Ngororero,Kavumu,French beans,Potato,Coffee,Maize,Celery,,,,,,
Ngororero,Matyazo,French beans,Mango,Avocado,Maize,Coffee,,,,,,
Ngororero,Muhanda,French beans,Potato,Pumpkin,Coffee,Tomato,,,,,,
Ngororero,Muhororo,French beans,Coffee,Avocado,Mango,Maize,,,,,,
Ngororero,Ndaro,French beans,Coffee,Avocado,Celery,Maize,,,,,,
Ngororero,Ngororero,French beans,Avocado,Coffee,Mango,Maize,,,,,,
Ngororero,Nyange,French beans,Mango,Maize,Avocado,Celery,,,,,,
Ngororero,Sovu,French beans,Potato,Celery,Coffee,Maize,,,,,,
Rusizi,Bugarama,Mango,French beans,Avocado,Maize,Bell peppers,,,,,,
Rusizi,Gashonga,French beans,Coffee,Avocado,Mango,Maize,,,,,,
Rusizi,Giheke,French beans,Coffee,Mango,Avocado,Maize,,,,,,
Rusizi,Gihundwe,French beans,Avocado,Mango,Coffee,Maize,,,,,,
Rusizi,Gikundamvura,Mango,French beans,Avocado,Maize,Celery,,,,,,
Rusizi,Gitambi,French beans,Mango,Avocado,Maize,Celery,,,,,,
Rusizi,Kamembe,French beans,Mango,Avocado,Coffee,Maize,,,,,,
Rusizi,Muganza,Mango,French beans,Maize,Avocado,Bell peppers,,,,,,
Rusizi,Mururu,French beans,Mango,Avocado,Maize,Celery,,,,,,
Rusizi,Nkanka,French beans,Mango,Avocado,Maize,Celery,,,,,,
Rusizi,Nkombo,French beans,Mango,Avocado,Maize,Celery,,,,,,
Rusizi,Nkungu,French beans,Potato,Maize,Celery,Coffee,,,,,,
Rusizi,Nyakabuye,Mango,French beans,Maize,Avocado,Celery,,,,,,
Rusizi,Nyakarenzo,French beans,Maize,Mango,Avocado,Celery,,,,,,
Rusizi,Nzahaha,French beans,Maize,Celery,Avocado,Mango,,,,,,
Nyamasheke,Bushekeri,French beans,Coffee,Avocado,Maize,Celery,,,,,,
Nyamasheke,Bushenge,French beans,Maize,Avocado,Mango,Celery,,,,,,
Nyamasheke,Cyato,French beans,Potato,Coffee,Celery,Pumpkin,,,,,,
Nyamasheke,Gihombo,French beans,Maize,Avocado,Mango,Celery,,,,,,
Nyamasheke,Kagano,French beans,Mango,Avocado,Maize,Celery,,,,,,
Nyamasheke,Kanjongo,French beans,Avocado,Coffee,Maize,Mango,,,,,,
Nyamasheke,Karambi,French beans,Potato,Pumpkin,Celery,Maize,,,,,,
Nyamasheke,Karengera,French beans,Mango,Avocado,Maize,Celery,,,,,,
Nyamasheke,Kirimbi,French beans,Avocado,Mango,Coffee,Maize,,,,,,
Nyamasheke,Macuba,French beans,Avocado,Mango,Coffee,Maize,,,,,,
Nyamasheke,Mahembe,French beans,Coffee,Avocado,Celery,Maize,,,,,,
Nyamasheke,Nyabitekeri,French beans,Avocado,Coffee,Mango,Maize,,,,,,
Nyamasheke,Ruharambuga,French beans,Avocado,Coffee,Mango,Celery,,,,,,
Nyamasheke,Shangi,Coffee,Avocado,French beans,Mango,Celery,,,,,,
Rulindo,Base,French beans,Coffee,Avocado,Celery,Mango,,,,,,
Rulindo,Burega,French beans,Coffee,Avocado,Celery,Maize,,,,,,
Rulindo,Bushoki,French beans,Coffee,Avocado,Celery,Mango,,,,,,
Rulindo,Buyoga,French beans,Avocado,Coffee,Mango,Celery,,,,,,
Rulindo,Cyinzuzi,French beans,Coffee,Avocado,Celery,Maize,,,,,,
Rulindo,Cyungo,French beans,Coffee,Avocado,Celery,Maize,,,,,,
Rulindo,Kinihira,French beans,Coffee,Avocado,Celery,Maize,,,,,,
Rulindo,Kisaro,French beans,Coffee,Avocado,Celery,Maize,,,,,,
Rulindo,Masoro,French beans,Avocado,Mango,Coffee,Maize,,,,,,
Rulindo,Mbogo,French beans,Coffee,Potato,Maize,Celery,,,,,,
Rulindo,Murambi,French beans,Avocado,Coffee,Mango,Maize,,,,,,
Rulindo,Ngoma,French beans,Avocado,Mango,Coffee,Maize,,,,,,
Rulindo,Ntarabana,French beans,Coffee,Avocado,Mango,Celery,,,,,,
Rulindo,Rukozo,French beans,Maize,Potato,Coffee,Celery,,,,,,
Rulindo,Rusiga,French beans,Coffee,Potato,Maize,Celery,,,,,,
Rulindo,Shyrongi,French beans,Avocado,Mango,Coffee,Celery,,,,,,
Rulindo,Tumba,French beans,Coffee,Potato,Celery,Maize,,,,,,
Gakenke,Busengo,French beans,Coffee,Avocado,Mango,Celery,,,,,,
Gakenke,Coko,French beans,Coffee,Celery,Avocado,Maize,,,,,,
Gakenke,Cyabingo,French beans,Coffee,Avocado,Celery,Mango,,,,,,
Gakenke,Gakenke,French beans,Coffee,Avocado,Mango,Celery,,,,,,
Gakenke,Gashenyi,Coffee,French beans,Avocado,Celery,Mango,,,,,,
Gakenke,Janja,Coffee,French beans,Avocado,Celery,Eggplant,,,,,,
Gakenke,Karambo,French beans,Maize,Celery,Potato,Avocado,,,,,,
Gakenke,Kivuruga,French beans,Celery,Maize,Potato,Avocado,,,,,,
Gakenke,Mataba,French beans,Celery,Maize,Potato,Avocado,,,,,,
Gakenke,Minazi,Coffee,French beans,Potato,Celery,Maize,,,,,,
Gakenke,Mugunga,French beans,Maize,Mango,Celery,Avocado,,,,,,
Gakenke,Muhondo,French beans,Maize,Celery,Avocado,Mango,,,,,,
Gakenke,Muyongwe,French beans,Maize,Celery,Avocado,Mango,,,,,,
Gakenke,Muzo,French beans,Potato,Celery,Maize,Pumpkin,,,,,,
Gakenke,Nemba,Celery,French beans,Maize,Potato,Pumpkin,,,,,,
Gakenke,Ruli,French beans,Coffee,Avocado,Celery,Mango,,,,,,
Gakenke,Rusasa,French beans,Avocado,Coffee,Mango,Celery,,,,,,
Gakenke,Rushashi,French beans,Celery,Maize,Potato,Avocado,,,,,,
Musanze,Busogo,French beans,Potato,Celery,Maize,Pumpkin,,,,,,
Musanze,Cyuve,French beans,Potato,Maize,Celery,Avocado,,,,,,
Musanze,Gacaca,French beans,Maize,Potato,Celery,Avocado,,,,,,
Musanze,Gashaki,French beans,Celery,Maize,Potato,Avocado,,,,,,
Musanze,Kimonyi,French beans,Maize,Celery,Potato,Avocado,,,,,,
Musanze,Kinigi,French beans,Potato,Pumpkin,Celery,Maize,,,,,,
Musanze,Muhoza,French beans,Coffee,Avocado,Celery,Maize,,,,,,
Musanze,Muko,French beans,Maize,Mango,Avocado,Celery,,,,,,
Musanze,Musanze,French beans,Potato,Maize,Celery,Coffee,,,,,,
Musanze,Nkotsi,French beans,Maize,Celery,Potato,Avocado,,,,,,
Musanze,Nyange,French beans,Potato,Pumpkin,Celery,Maize,,,,,,
Musanze,Remera,French beans,Potato,Maize,Celery,Avocado,,,,,,
Musanze,Rwaza,French beans,Maize,Celery,Avocado,Mango,,,,,,
Burera,Bungwe,French beans,Potato,Pumpkin,Celery,Maize,,,,,,
Burera,Butaro,French beans,Coffee,Potato,Celery,Maize,,,,,,
Burera,Cyanika,French beans,Coffee,Potato,Celery,Maize,,,,,,
Burera,Cyeru,French beans,Coffee,Celery,Avocado,Maize,,,,,,
Burera,Gahunga,French beans,Coffee,Potato,Celery,Maize,,,,,,
Burera,Gatebe,French beans,Potato,Celery,Maize,Pumpkin,,,,,,
Burera,Gitovu,French beans,Celery,Maize,Potato,Pumpkin,,,,,,
Burera,Kagogo,French beans,Potato,Maize,Celery,Pumpkin,,,,,,
Burera,Kinoni,French beans,Maize,Celery,Potato,Avocado,,,,,,
Burera,Kinyababa,French beans,Maize,Celery,Potato,Avocado,,,,,,
Burera,Kivuye,French beans,Potato,Pumpkin,Celery,Maize,,,,,,
Burera,Nemba,French beans,Potato,Celery,Maize,Pumpkin,,,,,,
Burera,Rugarama,French beans,Potato,Maize,Celery,Avocado,,,,,,
Burera,Rugengabari,French beans,Potato,Celery,Maize,Pumpkin,,,,,,
Burera,Ruhunde,French beans,Potato,Celery,Maize,Pumpkin,,,,,,
Burera,Rusarabuye,French beans,Potato,Celery,Pumpkin,Maize,,,,,,
Burera,Rwerere,French beans,Coffee,Potato,Celery,Maize,,,,,,
Gicumbi,Bukure,French beans,Maize,Celery,Potato,Avocado,,,,,,
Gicumbi,Bwisige,French beans,Coffee,Celery,Avocado,Maize,,,,,,
Gicumbi,Byumba,French beans,Coffee,Potato,Celery,Maize,,,,,,
Gicumbi,Cyumba,French beans,Potato,Celery,Maize,Pumpkin,,,,,,
Gicumbi,Giti,French beans,Celery,Maize,Potato,Pumpkin,,,,,,
Gicumbi,Kageyo,French beans,Coffee,Potato,Celery,Maize,,,,,,
Gicumbi,Kaniga,French beans,Coffee,Potato,Celery,Maize,,,,,,
Gicumbi,Manyagiro,French beans,Potato,Celery,Maize,Avocado,,,,,,
Gicumbi,Miyove,French beans,Potato,Celery,Pumpkin,Maize,,,,,,
Gicumbi,Mukarange,French beans,Celery,Potato,Maize,Avocado,,,,,,
Gicumbi,Muko,French beans,Celery,Maize,Avocado,Mango,,,,,,
Gicumbi,Mutete,French beans,Coffee,Avocado,Celery,Maize,,,,,,
Gicumbi,Nyamiyaga,French beans,Coffee,Celery,Potato,Avocado,,,,,,
Gicumbi,Nyankenke,French beans,Coffee,Celery,Potato,Avocado,,,,,,
Gicumbi,Rubaya,French beans,Maize,Celery,Potato,Avocado,,,,,,
Gicumbi,Rukomo,French beans,Maize,Celery,Potato,Avocado,,,,,,
Gicumbi,Rushaki,French beans,Maize,Celery,Potato,Avocado,,,,,,
Gicumbi,Rutare,French beans,Celery,Potato,Maize,Pumpkin,,,,,,
Gicumbi,Ruvune,Celery,Maize,French beans,Potato,Eggplant,,,,,,
Gicumbi,Rwamiko,French beans,Avocado,Coffee,Mango,Maize,,,,,,
Gicumbi,Shangasha,French beans,Coffee,Potato,Celery,Maize,,,,,,
Rwamagana,Fumbwe,French beans,Coffee,Avocado,Mango,Celery,,,,,,
Rwamagana,Gahengeri,French beans,Avocado,Mango,Coffee,Maize,,,,,,
Rwamagana,Gishali,French beans,Maize,Celery,Mango,Avocado,,,,,,
Rwamagana,Karenge,French beans,Mango,Avocado,Maize,Celery,,,,,,
Rwamagana,Kigabiro,French beans,Mango,Maize,Avocado,Celery,,,,,,
Rwamagana,Muhazi,French beans,Maize,Mango,Avocado,Celery,,,,,,
Rwamagana,Munyaga,French beans,Mango,Maize,Avocado,Celery,,,,,,
Rwamagana,Munyiginya,French beans,Maize,Celery,Mango,Avocado,,,,,,
Rwamagana,Musha,French beans,Maize,Mango,Avocado,Celery,,,,,,
Rwamagana,Muyumbu,French beans,Mango,Maize,Avocado,Celery,,,,,,
Rwamagana,Mwulire,French beans,Mango,Maize,Celery,Avocado,,,,,,
Rwamagana,Nyakaliro,French beans,Maize,Mango,Celery,Avocado,,,,,,
Rwamagana,Nzige,French beans,Maize,Celery,Avocado,Mango,,,,,,
Rwamagana,Rubona,French beans,Maize,Mango,Avocado,Celery,,,,,,
Nyagatare,Gatunda,French beans,Celery,Maize,Mango,Avocado,,,,,,
Nyagatare,Karama,French beans,Avocado,Mango,Maize,Celery,,,,,,
Nyagatare,Karangazi,French beans,Maize,Mango,Celery,Avocado,,,,,,
Nyagatare,Katabagemu,French beans,Maize,Mango,Celery,Avocado,,,,,,
Nyagatare,Kiyombe,French beans,Celery,Maize,Potato,Avocado,,,,,,
Nyagatare,Matimba,French beans,Mango,Maize,Celery,Bell peppers,,,,,,
Nyagatare,Mimuri,French beans,Mango,Maize,Celery,Avocado,,,,,,
Nyagatare,Mukama,French beans,Avocado,Mango,Maize,Celery,,,,,,
Nyagatare,Musheri,French beans,Mango,Avocado,Maize,Celery,,,,,,
Nyagatare,Nyagatare,French beans,Maize,Mango,Celery,Avocado,,,,,,
Nyagatare,Rukomo,French beans,Maize,Mango,Celery,Avocado,,,,,,
Nyagatare,Rwempasha,Maize,Mango,French beans,Celery,Avocado,,,,,,
Nyagatare,Rwimiyaga,French beans,Mango,Maize,Celery,Avocado,,,,,,
Nyagatare,Tabagwe,Celery,French beans,Maize,Mango,Eggplant,,,,,,
Gatsibo,Gasange,French beans,Maize,Celery,Avocado,Mango,,,,,,
Gatsibo,Gatsibo,Maize,Celery,French beans,Mango,Avocado,,,,,,
Gatsibo,Gitoki,French beans,Maize,Celery,Mango,Avocado,,,,,,
Gatsibo,Kabarore,French beans,Mango,Avocado,Maize,Celery,,,,,,
Gatsibo,Kageyo,French beans,Maize,Celery,Potato,Avocado,,,,,,
Gatsibo,Kiramuruzi,French beans,Maize,Mango,Celery,Avocado,,,,,,
Gatsibo,Kiziguro,French beans,Mango,Maize,Avocado,Celery,,,,,,
